downstream_cost_us,config,max_stable_lambda
1.0,Fixed EMA,642007.9600312244
1.0,Fixed EMA + Shedding,1116050.662770142
1.0,KAMA,639462.7271098769
1.0,Butterworth,632616.1885553199
1.0,Load-Adaptive EMA,640116.5884272775
1.0,Load-Adaptive EMA + Shedding,1112779.6794991866
1.0,Load-Adaptive EMA (Bandwidth-Matched),640119.091096525
5.0,Fixed EMA,140018.94578861652
5.0,Fixed EMA + Shedding,243752.0588049574
5.0,KAMA,139907.33770638512
5.0,Butterworth,139603.4656193502
5.0,Load-Adaptive EMA,139936.0790064345
5.0,Load-Adaptive EMA + Shedding,243608.32913486467
5.0,Load-Adaptive EMA (Bandwidth-Matched),139936.18892178102
10.0,Fixed EMA,72628.01452056665
10.0,Fixed EMA + Shedding,126457.08033304996
10.0,KAMA,72599.04973336097
10.0,Butterworth,72520.06774710864
10.0,Load-Adaptive EMA,72606.51101051556
10.0,Load-Adaptive EMA + Shedding,126419.7695739313
10.0,Load-Adaptive EMA (Bandwidth-Matched),72606.5395416544
25.0,Fixed EMA,30490.924636589876
25.0,Fixed EMA + Shedding,53095.301699386
25.0,KAMA,30486.058668655845
25.0,Butterworth,30472.77784112853
25.0,Load-Adaptive EMA,30487.312362130382
25.0,Load-Adaptive EMA + Shedding,53089.03266270394
25.0,Load-Adaptive EMA (Bandwidth-Matched),30487.317155817484
50.0,Fixed EMA,15812.663355877306
50.0,Fixed EMA + Shedding,27536.328518135706
50.0,KAMA,15811.401437722825
50.0,Butterworth,15807.956194234386
50.0,Load-Adaptive EMA,15811.726584722255
50.0,Load-Adaptive EMA + Shedding,27534.702649798903
50.0,Load-Adaptive EMA (Bandwidth-Matched),15811.7278279447
100.0,Fixed EMA,8200.28761408606
100.0,Fixed EMA + Shedding,14280.31707146976
100.0,KAMA,8199.960383409103
100.0,Butterworth,8199.066853317958
100.0,Load-Adaptive EMA,8200.044700535003
100.0,Load-Adaptive EMA + Shedding,14279.89545311836
100.0,Load-Adaptive EMA (Bandwidth-Matched),8200.045022924056
