config,anomaly_type,mean_roc_auc,std_roc_auc,ci_95
Butterworth (Default),all,0.8439733333114166,0.02865340787220052,0.004585500273677545
Butterworth (Default),level_shift,0.6687415359439867,0.03832218859106931,0.006132827447822018
Butterworth (Default),point,0.9952525366739288,0.002809498207485179,0.00044961335338470786
Butterworth (Matched),all,0.8422176815978891,0.029453282612614127,0.004713506891858305
Butterworth (Matched),level_shift,0.6703777635527363,0.04014400580017192,0.0064243789221943015
Butterworth (Matched),point,0.9949629825708061,0.0030819645798691384,0.0004932170542326874
Fixed EMA,all,0.8308435095124541,0.021260466519523277,0.003402383251535353
Fixed EMA,level_shift,0.6269542927805399,0.022903379761645245,0.0036653041283462337
Fixed EMA,point,0.9982840697167759,0.00021855631607555965,3.4976295023907355e-05
KAMA,all,0.9076900841882398,0.016307341196094616,0.0026097181128040894
KAMA,level_shift,0.561096239468951,0.01961497220179777,0.003139049316601013
KAMA,point,0.9985675090777051,0.00045179455979437995,7.230218781735623e-05
Load Adaptive EMA,all,0.825616231805211,0.016905172268091358,0.0027053910099505978
Load Adaptive EMA,level_shift,0.5792354314446275,0.026261844812568318,0.004202770473670047
Load Adaptive EMA,point,0.9983454052287584,0.0001615971682066424,2.586093292435193e-05
Load-Adaptive EMA (BW-Matched),all,0.8310567247114746,0.02214495670663305,0.003543931161408647
Load-Adaptive EMA (BW-Matched),level_shift,0.6314491725492201,0.028211280784835514,0.00451474520366441
Load-Adaptive EMA (BW-Matched),point,0.9981171466957155,0.0006245688262016369,9.995182898494522e-05
RRCF,all,0.878093191954932,0.016123149094068978,0.0025802412373826756
RRCF,level_shift,0.6740198875638089,0.022471914261315448,0.0035962552676079536
RRCF,point,0.9990284909222947,0.00060530448096949,9.68688916698368e-05
